ORP: 1149mV, 20.75 C, TDS=493.54, Ph=4.51
ORP: 1114mV, 20.81 C, TDS=493.54, Ph=4.63
ORP: 1082mV, 20.75 C, TDS=462.17, Ph=4.37
ORP: 1050mV, 20.81 C, TDS=499.98, Ph=4.84
ORP: 1016mV, 20.75 C, TDS=491.41, Ph=4.76
ORP: 982mV, 20.81 C, TDS=466.27, Ph=4.43
ORP: 949mV, 20.75 C, TDS=470.40, Ph=4.35
ORP: 917mV, 20.81 C, TDS=464.22, Ph=4.34
ORP: 886mV, 20.81 C, TDS=480.83, Ph=4.68
ORP: 855mV, 20.75 C, TDS=493.54, Ph=4.74
ORP: 819mV, 20.81 C, TDS=487.15, Ph=4.67
ORP: 784mV, 20.75 C, TDS=489.28, Ph=4.73
ORP: 750mV, 20.75 C, TDS=470.40, Ph=4.50
ORP: 750mV, 20.81 C, TDS=460.12, Ph=4.38
ORP: 753mV, 20.81 C, TDS=462.17, Ph=4.40
ORP: 757mV, 20.75 C, TDS=489.28, Ph=4.70
ORP: 754mV, 20.75 C, TDS=487.15, Ph=4.73
ORP: 750mV, 20.81 C, TDS=485.04, Ph=4.66
ORP: 751mV, 20.81 C, TDS=466.27, Ph=4.41
ORP: 753mV, 20.81 C, TDS=464.22, Ph=4.34
ORP: 752mV, 20.81 C, TDS=462.17, Ph=4.42
ORP: 752mV, 20.75 C, TDS=493.54, Ph=4.79
ORP: 752mV, 20.81 C, TDS=491.41, Ph=4.78
ORP: 752mV, 20.75 C, TDS=454.02, Ph=4.28
ORP: 748mV, 20.81 C, TDS=456.05, Ph=4.26
ORP: 750mV, 20.75 C, TDS=464.22, Ph=4.36
ORP: 753mV, 20.75 C, TDS=458.08, Ph=4.39
ORP: 752mV, 20.81 C, TDS=497.83, Ph=4.82
ORP: 750mV, 20.75 C, TDS=491.41, Ph=4.70
ORP: 747mV, 20.81 C, TDS=478.73, Ph=4.56
ORP: 747mV, 20.75 C, TDS=449.99, Ph=4.39
ORP: 744mV, 20.75 C, TDS=466.27, Ph=4.39
ORP: 743mV, 20.81 C, TDS=460.12, Ph=4.31
ORP: 746mV, 20.81 C, TDS=493.54, Ph=4.67
ORP: 745mV, 20.81 C, TDS=493.54, Ph=4.78
ORP: 742mV, 20.75 C, TDS=499.98, Ph=4.81
ORP: 738mV, 20.75 C, TDS=458.08, Ph=4.36
ORP: 738mV, 20.75 C, TDS=464.22, Ph=4.39
ORP: 743mV, 20.75 C, TDS=449.99, Ph=4.34
ORP: 743mV, 20.75 C, TDS=491.41, Ph=4.65
ORP: 744mV, 20.81 C, TDS=478.73, Ph=4.65
ORP: 745mV, 20.75 C, TDS=485.04, Ph=4.78
ORP: 742mV, 20.75 C, TDS=470.40, Ph=4.49
ORP: 739mV, 20.81 C, TDS=464.22, Ph=4.45
ORP: 741mV, 20.75 C, TDS=466.27, Ph=4.36
ORP: 745mV, 20.81 C, TDS=464.22, Ph=4.36
ORP: 747mV, 20.75 C, TDS=482.93, Ph=4.67
ORP: 746mV, 20.81 C, TDS=495.68, Ph=4.82
ORP: 742mV, 20.75 C, TDS=495.68, Ph=4.75
ORP: 739mV, 20.75 C, TDS=474.55, Ph=4.46
ORP: 740mV, 20.81 C, TDS=456.05, Ph=4.40
ORP: 744mV, 20.81 C, TDS=466.27, Ph=4.41
ORP: 747mV, 20.81 C, TDS=476.64, Ph=4.54
ORP: 746mV, 20.81 C, TDS=482.93, Ph=4.82
ORP: 740mV, 20.75 C, TDS=521.90, Ph=4.85
ORP: 737mV, 20.75 C, TDS=472.47, Ph=4.72
ORP: 735mV, 20.75 C, TDS=474.55, Ph=4.52
ORP: 740mV, 20.75 C, TDS=458.08, Ph=4.39
ORP: 745mV, 20.75 C, TDS=456.05, Ph=4.32
ORP: 746mV, 20.75 C, TDS=506.49, Ph=4.83
ORP: 746mV, 20.81 C, TDS=491.41, Ph=4.71
ORP: 742mV, 20.75 C, TDS=491.41, Ph=4.72
ORP: 743mV, 20.81 C, TDS=452.00, Ph=4.26
ORP: 744mV, 20.75 C, TDS=464.22, Ph=4.43
ORP: 748mV, 20.81 C, TDS=454.02, Ph=4.29
ORP: 746mV, 20.75 C, TDS=506.49, Ph=4.94
ORP: 746mV, 20.81 C, TDS=493.54, Ph=4.76
ORP: 744mV, 20.75 C, TDS=489.28, Ph=4.72
ORP: 743mV, 20.81 C, TDS=460.12, Ph=4.37
ORP: 744mV, 20.75 C, TDS=464.22, Ph=4.45
ORP: 747mV, 20.75 C, TDS=464.22, Ph=4.38
ORP: 749mV, 20.81 C, TDS=480.83, Ph=4.55
ORP: 747mV, 20.81 C, TDS=491.41, Ph=4.69
ORP: 744mV, 20.81 C, TDS=491.41, Ph=4.72
ORP: 747mV, 20.81 C, TDS=472.47, Ph=4.46
ORP: 751mV, 20.75 C, TDS=466.27, Ph=4.38
ORP: 755mV, 20.81 C, TDS=495.68, Ph=4.76
ORP: 753mV, 20.75 C, TDS=493.54, Ph=4.77
ORP: 748mV, 20.75 C, TDS=480.83, Ph=4.71
ORP: 744mV, 20.75 C, TDS=468.33, Ph=4.36
ORP: 743mV, 20.75 C, TDS=466.27, Ph=4.43
ORP: 746mV, 20.75 C, TDS=482.93, Ph=4.63
ORP: 747mV, 20.75 C, TDS=487.15, Ph=4.72
ORP: 747mV, 20.75 C, TDS=493.54, Ph=4.64
ORP: 745mV, 20.81 C, TDS=474.55, Ph=4.41
ORP: 742mV, 20.75 C, TDS=468.33, Ph=4.41
ORP: 743mV, 20.75 C, TDS=480.83, Ph=4.53
ORP: 744mV, 20.75 C, TDS=491.41, Ph=4.74
ORP: 745mV, 20.75 C, TDS=489.28, Ph=4.67
ORP: 744mV, 20.75 C, TDS=458.08, Ph=4.38
ORP: 747mV, 20.75 C, TDS=464.22, Ph=4.37
ORP: 747mV, 20.81 C, TDS=508.67, Ph=4.92
ORP: 748mV, 20.75 C, TDS=493.54, Ph=4.73
ORP: 743mV, 20.75 C, TDS=493.54, Ph=4.77
ORP: 745mV, 20.81 C, TDS=466.27, Ph=4.44
ORP: 750mV, 20.81 C, TDS=466.27, Ph=4.40
ORP: 753mV, 20.75 C, TDS=506.49, Ph=4.88
ORP: 752mV, 20.81 C, TDS=495.68, Ph=4.74
ORP: 747mV, 20.75 C, TDS=495.68, Ph=4.70
ORP: 743mV, 20.75 C, TDS=470.40, Ph=4.49
ORP: 743mV, 20.81 C, TDS=470.40, Ph=4.39
ORP: 748mV, 20.75 C, TDS=470.40, Ph=4.51
ORP: 749mV, 20.75 C, TDS=497.83, Ph=4.64
ORP: 749mV, 20.75 C, TDS=482.93, Ph=4.70
ORP: 745mV, 20.75 C, TDS=462.17, Ph=4.42
ORP: 745mV, 20.75 C, TDS=458.08, Ph=4.41
ORP: 745mV, 20.81 C, TDS=510.86, Ph=4.84
ORP: 746mV, 20.81 C, TDS=495.68, Ph=4.77
ORP: 746mV, 20.75 C, TDS=491.41, Ph=4.67
ORP: 746mV, 20.75 C, TDS=476.64, Ph=4.48
ORP: 745mV, 20.81 C, TDS=449.99, Ph=4.34
ORP: 745mV, 20.75 C, TDS=504.31, Ph=4.79
ORP: 742mV, 20.81 C, TDS=487.15, Ph=4.69
ORP: 742mV, 20.81 C, TDS=493.54, Ph=4.75
ORP: 744mV, 20.81 C, TDS=458.08, Ph=4.37
ORP: 744mV, 20.75 C, TDS=466.27, Ph=4.42
ORP: 743mV, 20.75 C, TDS=491.41, Ph=4.71
ORP: 746mV, 20.81 C, TDS=493.54, Ph=4.79
ORP: 747mV, 20.81 C, TDS=468.33, Ph=4.49
ORP: 751mV, 20.81 C, TDS=470.40, Ph=4.46
ORP: 752mV, 20.81 C, TDS=482.93, Ph=4.60
ORP: 749mV, 20.75 C, TDS=502.15, Ph=4.81
ORP: 748mV, 20.75 C, TDS=447.98, Ph=4.26
ORP: 752mV, 20.75 C, TDS=460.12, Ph=4.35
ORP: 756mV, 20.75 C, TDS=462.17, Ph=4.36
ORP: 752mV, 20.81 C, TDS=495.68, Ph=4.75
ORP: 748mV, 20.75 C, TDS=485.04, Ph=4.63
ORP: 749mV, 20.81 C, TDS=472.47, Ph=4.45
ORP: 751mV, 20.75 C, TDS=466.27, Ph=4.41
ORP: 755mV, 20.75 C, TDS=485.04, Ph=4.55
ORP: 752mV, 20.75 C, TDS=489.28, Ph=4.74
ORP: 748mV, 20.75 C, TDS=466.27, Ph=4.52
ORP: 747mV, 20.75 C, TDS=464.22, Ph=4.39
ORP: 752mV, 20.81 C, TDS=502.15, Ph=4.81
ORP: 753mV, 20.81 C, TDS=480.83, Ph=4.60
ORP: 748mV, 20.81 C, TDS=464.22, Ph=4.38
ORP: 748mV, 20.81 C, TDS=470.40, Ph=4.38
ORP: 748mV, 20.75 C, TDS=495.68, Ph=4.79
ORP: 749mV, 20.75 C, TDS=495.68, Ph=4.79
ORP: 749mV, 20.75 C, TDS=460.12, Ph=4.38
ORP: 749mV, 20.75 C, TDS=458.08, Ph=4.34
ORP: 749mV, 20.81 C, TDS=482.93, Ph=4.59
ORP: 746mV, 20.75 C, TDS=493.54, Ph=4.73
ORP: 746mV, 20.75 C, TDS=491.41, Ph=4.72
ORP: 750mV, 20.75 C, TDS=480.83, Ph=4.49
ORP: 751mV, 20.75 C, TDS=470.40, Ph=4.38
ORP: 748mV, 20.81 C, TDS=474.55, Ph=4.56
ORP: 746mV, 20.75 C, TDS=491.41, Ph=4.74
ORP: 747mV, 20.75 C, TDS=460.12, Ph=4.40
ORP: 751mV, 20.75 C, TDS=464.22, Ph=4.40
ORP: 752mV, 20.75 C, TDS=480.83, Ph=4.63
ORP: 747mV, 20.75 C, TDS=493.54, Ph=4.75
ORP: 749mV, 20.75 C, TDS=458.08, Ph=4.37
ORP: 751mV, 20.75 C, TDS=462.17, Ph=4.34
ORP: 750mV, 20.75 C, TDS=462.17, Ph=4.35
ORP: 749mV, 20.75 C, TDS=480.83, Ph=4.68
ORP: 745mV, 20.75 C, TDS=489.28, Ph=4.65
ORP: 750mV, 20.75 C, TDS=464.22, Ph=4.41
ORP: 754mV, 20.75 C, TDS=460.12, Ph=4.34
ORP: 753mV, 20.81 C, TDS=491.41, Ph=4.70
ORP: 749mV, 20.75 C, TDS=485.04, Ph=4.65
ORP: 749mV, 20.75 C, TDS=452.00, Ph=4.55
ORP: 754mV, 20.81 C, TDS=458.08, Ph=4.31
ORP: 752mV, 20.75 C, TDS=489.28, Ph=4.61
ORP: 747mV, 20.75 C, TDS=491.41, Ph=4.69
ORP: 749mV, 20.75 C, TDS=458.08, Ph=4.36
ORP: 753mV, 20.75 C, TDS=458.08, Ph=4.31
ORP: 753mV, 20.75 C, TDS=517.46, Ph=4.97
ORP: 751mV, 20.75 C, TDS=485.04, Ph=4.69
ORP: 747mV, 20.75 C, TDS=464.22, Ph=4.44
ORP: 752mV, 20.75 C, TDS=456.05, Ph=4.33
ORP: 756mV, 20.75 C, TDS=464.22, Ph=4.42
ORP: 753mV, 20.81 C, TDS=497.83, Ph=4.75
ORP: 749mV, 20.81 C, TDS=436.02, Ph=4.17
ORP: 752mV, 20.75 C, TDS=462.17, Ph=4.31
ORP: 756mV, 20.75 C, TDS=508.67, Ph=4.87
ORP: 753mV, 20.75 C, TDS=497.83, Ph=4.78
ORP: 749mV, 20.75 C, TDS=482.93, Ph=4.59
ORP: 752mV, 20.81 C, TDS=474.55, Ph=4.40
ORP: 756mV, 20.75 C, TDS=482.93, Ph=4.55
ORP: 751mV, 20.75 C, TDS=495.68, Ph=4.76
ORP: 747mV, 20.75 C, TDS=458.08, Ph=4.34
ORP: 751mV, 20.81 C, TDS=462.17, Ph=4.33
ORP: 755mV, 20.75 C, TDS=497.83, Ph=4.79
ORP: 750mV, 20.81 C, TDS=491.41, Ph=4.72
ORP: 749mV, 20.75 C, TDS=470.40, Ph=4.45
ORP: 751mV, 20.75 C, TDS=462.17, Ph=4.38
ORP: 751mV, 20.81 C, TDS=495.68, Ph=4.79
ORP: 751mV, 20.75 C, TDS=452.00, Ph=4.28
ORP: 750mV, 20.75 C, TDS=472.47, Ph=4.36
ORP: 750mV, 20.75 C, TDS=474.55, Ph=4.64
ORP: 751mV, 20.75 C, TDS=491.41, Ph=4.79
ORP: 751mV, 20.81 C, TDS=454.02, Ph=4.34
ORP: 754mV, 20.81 C, TDS=452.00, Ph=4.45
ORP: 752mV, 20.75 C, TDS=499.98, Ph=4.72
ORP: 750mV, 20.75 C, TDS=482.93, Ph=4.69
ORP: 755mV, 20.81 C, TDS=472.47, Ph=4.42
ORP: 754mV, 20.75 C, TDS=485.04, Ph=4.60
ORP: 750mV, 20.75 C, TDS=487.15, Ph=4.76
ORP: 751mV, 20.75 C, TDS=478.73, Ph=4.52
ORP: 754mV, 20.81 C, TDS=468.33, Ph=4.36
ORP: 755mV, 20.81 C, TDS=480.83, Ph=4.68
ORP: 750mV, 20.75 C, TDS=472.47, Ph=4.55
ORP: 751mV, 20.75 C, TDS=470.40, Ph=4.49
ORP: 751mV, 20.75 C, TDS=482.93, Ph=4.58
ORP: 751mV, 20.81 C, TDS=476.64, Ph=4.41
ORP: 750mV, 20.81 C, TDS=464.22, Ph=4.39
ORP: 746mV, 20.81 C, TDS=466.27, Ph=4.59
ORP: 744mV, 20.75 C, TDS=464.22, Ph=4.46
