ORP: 1529mV, 20.69 C, TDS=456.05, Ph=4.29
ORP: 1498mV, 20.62 C, TDS=504.31, Ph=4.81
ORP: 1463mV, 20.62 C, TDS=497.83, Ph=4.81
ORP: 1433mV, 20.69 C, TDS=466.27, Ph=4.43
ORP: 1402mV, 20.62 C, TDS=485.04, Ph=4.64
ORP: 1368mV, 20.62 C, TDS=495.68, Ph=4.77
ORP: 1333mV, 20.62 C, TDS=460.12, Ph=4.36
ORP: 1302mV, 20.62 C, TDS=472.47, Ph=4.43
ORP: 1271mV, 20.69 C, TDS=497.83, Ph=4.75
ORP: 1235mV, 20.62 C, TDS=495.68, Ph=4.74
ORP: 1200mV, 20.69 C, TDS=470.40, Ph=4.47
ORP: 1169mV, 20.62 C, TDS=476.64, Ph=4.41
ORP: 1137mV, 20.69 C, TDS=513.05, Ph=4.84
ORP: 1103mV, 20.62 C, TDS=497.83, Ph=4.82
ORP: 1068mV, 20.69 C, TDS=456.05, Ph=4.34
ORP: 1038mV, 20.69 C, TDS=460.12, Ph=4.34
ORP: 1006mV, 20.62 C, TDS=495.68, Ph=4.73
ORP: 971mV, 20.69 C, TDS=493.54, Ph=4.76
ORP: 936mV, 20.69 C, TDS=489.28, Ph=4.68
ORP: 901mV, 20.69 C, TDS=478.73, Ph=4.57
ORP: 866mV, 20.69 C, TDS=458.08, Ph=4.35
ORP: 836mV, 20.62 C, TDS=474.55, Ph=4.35
ORP: 806mV, 20.69 C, TDS=472.47, Ph=4.48
ORP: 774mV, 20.69 C, TDS=464.22, Ph=4.38
ORP: 743mV, 20.69 C, TDS=460.12, Ph=4.32
ORP: 742mV, 20.69 C, TDS=480.83, Ph=4.57
ORP: 747mV, 20.69 C, TDS=495.68, Ph=4.74
ORP: 752mV, 20.69 C, TDS=491.41, Ph=4.71
ORP: 746mV, 20.62 C, TDS=487.15, Ph=4.70
ORP: 743mV, 20.62 C, TDS=499.98, Ph=4.79
ORP: 744mV, 20.62 C, TDS=493.54, Ph=4.76
ORP: 740mV, 20.69 C, TDS=495.68, Ph=4.76
ORP: 739mV, 20.69 C, TDS=476.64, Ph=4.53
ORP: 741mV, 20.62 C, TDS=456.05, Ph=4.32
ORP: 737mV, 20.69 C, TDS=452.00, Ph=4.27
ORP: 737mV, 20.62 C, TDS=458.08, Ph=4.34
ORP: 740mV, 20.69 C, TDS=462.17, Ph=4.34
ORP: 741mV, 20.69 C, TDS=464.22, Ph=4.39
ORP: 747mV, 20.69 C, TDS=458.08, Ph=4.32
ORP: 751mV, 20.69 C, TDS=462.17, Ph=4.38
ORP: 752mV, 20.69 C, TDS=510.86, Ph=4.88
ORP: 752mV, 20.69 C, TDS=487.15, Ph=4.63
ORP: 757mV, 20.69 C, TDS=487.15, Ph=4.61
ORP: 756mV, 20.69 C, TDS=502.15, Ph=4.79
ORP: 755mV, 20.69 C, TDS=493.54, Ph=4.73
ORP: 753mV, 20.62 C, TDS=491.41, Ph=4.70
ORP: 754mV, 20.62 C, TDS=482.93, Ph=4.63
ORP: 749mV, 20.69 C, TDS=495.68, Ph=4.75
ORP: 745mV, 20.62 C, TDS=489.28, Ph=4.75
ORP: 747mV, 20.69 C, TDS=491.41, Ph=4.76
ORP: 747mV, 20.62 C, TDS=485.04, Ph=4.64
ORP: 744mV, 20.69 C, TDS=454.02, Ph=4.30
ORP: 741mV, 20.69 C, TDS=447.98, Ph=4.21
ORP: 740mV, 20.69 C, TDS=449.99, Ph=4.22
ORP: 739mV, 20.62 C, TDS=468.33, Ph=4.44
ORP: 735mV, 20.69 C, TDS=468.33, Ph=4.47
ORP: 732mV, 20.62 C, TDS=449.99, Ph=4.26
ORP: 733mV, 20.62 C, TDS=454.02, Ph=4.31
ORP: 733mV, 20.62 C, TDS=458.08, Ph=4.36
ORP: 734mV, 20.69 C, TDS=462.17, Ph=4.40
ORP: 734mV, 20.62 C, TDS=464.22, Ph=4.41
ORP: 730mV, 20.69 C, TDS=454.02, Ph=4.30
ORP: 726mV, 20.69 C, TDS=449.99, Ph=4.27
ORP: 723mV, 20.62 C, TDS=464.22, Ph=4.37
ORP: 719mV, 20.62 C, TDS=449.99, Ph=4.29
ORP: 715mV, 20.62 C, TDS=466.27, Ph=4.43
ORP: 713mV, 20.69 C, TDS=460.12, Ph=4.39
ORP: 709mV, 20.69 C, TDS=458.08, Ph=4.34
ORP: 711mV, 20.62 C, TDS=454.02, Ph=4.29
ORP: 712mV, 20.62 C, TDS=460.12, Ph=4.33
ORP: 714mV, 20.69 C, TDS=454.02, Ph=4.26
ORP: 713mV, 20.69 C, TDS=316.27, Ph=4.61
ORP: 714mV, 20.69 C, TDS=295.51, Ph=3.57
ORP: 714mV, 20.69 C, TDS=542.22, Ph=4.81
ORP: 714mV, 20.62 C, TDS=485.04, Ph=4.59
ORP: 715mV, 20.69 C, TDS=487.15, Ph=4.76
ORP: 712mV, 20.69 C, TDS=441.98, Ph=4.14
ORP: 707mV, 20.69 C, TDS=464.22, Ph=4.34
ORP: 704mV, 20.69 C, TDS=460.12, Ph=4.32
ORP: 699mV, 20.62 C, TDS=468.33, Ph=4.44
ORP: 696mV, 20.62 C, TDS=456.05, Ph=4.31
ORP: 691mV, 20.69 C, TDS=454.02, Ph=4.29
ORP: 687mV, 20.69 C, TDS=449.99, Ph=4.20
ORP: 684mV, 20.69 C, TDS=491.41, Ph=4.68
ORP: 684mV, 20.62 C, TDS=495.68, Ph=4.72
ORP: 685mV, 20.69 C, TDS=493.54, Ph=4.71
ORP: 685mV, 20.62 C, TDS=493.54, Ph=4.71
ORP: 686mV, 20.69 C, TDS=487.15, Ph=4.68
ORP: 686mV, 20.69 C, TDS=489.28, Ph=4.66
ORP: 687mV, 20.62 C, TDS=491.41, Ph=4.68
ORP: 691mV, 20.69 C, TDS=491.41, Ph=4.67
ORP: 695mV, 20.62 C, TDS=506.49, Ph=4.81
ORP: 698mV, 20.69 C, TDS=493.54, Ph=4.64
ORP: 703mV, 20.62 C, TDS=468.33, Ph=4.41
ORP: 709mV, 20.69 C, TDS=462.17, Ph=4.36
ORP: 711mV, 20.69 C, TDS=470.40, Ph=4.44
ORP: 716mV, 20.62 C, TDS=456.05, Ph=4.32
ORP: 716mV, 20.69 C, TDS=462.17, Ph=4.39
ORP: 717mV, 20.69 C, TDS=458.08, Ph=4.33
ORP: 718mV, 20.62 C, TDS=454.02, Ph=4.29
ORP: 716mV, 20.69 C, TDS=478.73, Ph=4.57
ORP: 715mV, 20.69 C, TDS=493.54, Ph=4.70
ORP: 719mV, 20.62 C, TDS=489.28, Ph=4.66
ORP: 723mV, 20.69 C, TDS=491.41, Ph=4.67
ORP: 728mV, 20.69 C, TDS=493.54, Ph=4.72
ORP: 732mV, 20.69 C, TDS=508.67, Ph=4.88
ORP: 735mV, 20.69 C, TDS=466.27, Ph=4.42
ORP: 738mV, 20.62 C, TDS=464.22, Ph=4.36
ORP: 743mV, 20.69 C, TDS=462.17, Ph=4.36
ORP: 743mV, 20.69 C, TDS=458.08, Ph=4.33
ORP: 743mV, 20.69 C, TDS=462.17, Ph=4.39
ORP: 744mV, 20.62 C, TDS=449.99, Ph=4.26
ORP: 743mV, 20.69 C, TDS=485.04, Ph=4.64
ORP: 747mV, 20.69 C, TDS=491.41, Ph=4.68
ORP: 751mV, 20.69 C, TDS=489.28, Ph=4.63
ORP: 754mV, 20.69 C, TDS=508.67, Ph=4.86
ORP: 759mV, 20.69 C, TDS=464.22, Ph=4.36
ORP: 760mV, 20.62 C, TDS=460.12, Ph=4.38
ORP: 760mV, 20.69 C, TDS=458.08, Ph=4.35
ORP: 760mV, 20.69 C, TDS=452.00, Ph=4.27
ORP: 762mV, 20.69 C, TDS=485.04, Ph=4.67
ORP: 766mV, 20.69 C, TDS=491.41, Ph=4.67
ORP: 770mV, 20.62 C, TDS=495.68, Ph=4.70
ORP: 774mV, 20.69 C, TDS=513.05, Ph=4.86
ORP: 777mV, 20.69 C, TDS=462.17, Ph=4.43
ORP: 777mV, 20.69 C, TDS=445.97, Ph=4.28
ORP: 777mV, 20.62 C, TDS=445.97, Ph=4.23
ORP: 776mV, 20.69 C, TDS=464.22, Ph=4.44
ORP: 776mV, 20.69 C, TDS=480.83, Ph=4.61
ORP: 776mV, 20.69 C, TDS=495.68, Ph=4.72
ORP: 776mV, 20.69 C, TDS=491.41, Ph=4.64
ORP: 775mV, 20.62 C, TDS=487.15, Ph=4.61
ORP: 777mV, 20.69 C, TDS=460.12, Ph=4.33
ORP: 778mV, 20.69 C, TDS=456.05, Ph=4.34
ORP: 773mV, 20.69 C, TDS=458.08, Ph=4.35
ORP: 771mV, 20.62 C, TDS=460.12, Ph=4.37
ORP: 766mV, 20.69 C, TDS=482.93, Ph=4.63
ORP: 765mV, 20.62 C, TDS=497.83, Ph=4.74
ORP: 768mV, 20.62 C, TDS=487.15, Ph=4.61
ORP: 772mV, 20.69 C, TDS=510.86, Ph=4.89
ORP: 779mV, 20.62 C, TDS=462.17, Ph=4.38
ORP: 780mV, 20.62 C, TDS=462.17, Ph=4.38
ORP: 776mV, 20.62 C, TDS=430.12, Ph=4.16
ORP: 773mV, 20.69 C, TDS=468.33, Ph=4.59
ORP: 774mV, 20.69 C, TDS=489.28, Ph=4.68
ORP: 774mV, 20.69 C, TDS=491.41, Ph=4.70
ORP: 775mV, 20.69 C, TDS=464.22, Ph=4.36
ORP: 778mV, 20.69 C, TDS=460.12, Ph=4.35
ORP: 773mV, 20.69 C, TDS=447.98, Ph=4.25
ORP: 774mV, 20.69 C, TDS=449.99, Ph=4.23
ORP: 775mV, 20.69 C, TDS=472.47, Ph=4.56
ORP: 779mV, 20.62 C, TDS=489.28, Ph=4.71
ORP: 784mV, 20.62 C, TDS=487.15, Ph=4.62
ORP: 784mV, 20.69 C, TDS=524.13, Ph=5.00
ORP: 785mV, 20.69 C, TDS=466.27, Ph=4.40
ORP: 782mV, 20.69 C, TDS=460.12, Ph=4.34
ORP: 778mV, 20.62 C, TDS=462.17, Ph=4.39
ORP: 777mV, 20.62 C, TDS=447.98, Ph=4.23
ORP: 774mV, 20.69 C, TDS=487.15, Ph=4.63
ORP: 779mV, 20.69 C, TDS=493.54, Ph=4.72
ORP: 781mV, 20.69 C, TDS=499.98, Ph=4.78
ORP: 782mV, 20.69 C, TDS=468.33, Ph=4.45
ORP: 781mV, 20.69 C, TDS=468.33, Ph=4.39
ORP: 778mV, 20.69 C, TDS=462.17, Ph=4.39
ORP: 776mV, 20.69 C, TDS=452.00, Ph=4.26
ORP: 774mV, 20.69 C, TDS=489.28, Ph=4.67
ORP: 777mV, 20.69 C, TDS=491.41, Ph=4.67
ORP: 780mV, 20.69 C, TDS=499.98, Ph=4.79
ORP: 785mV, 20.69 C, TDS=476.64, Ph=4.52
ORP: 787mV, 20.62 C, TDS=460.12, Ph=4.35
ORP: 784mV, 20.69 C, TDS=456.05, Ph=4.31
ORP: 780mV, 20.62 C, TDS=462.17, Ph=4.37
ORP: 776mV, 20.69 C, TDS=487.15, Ph=4.65
ORP: 772mV, 20.69 C, TDS=493.54, Ph=4.75
ORP: 776mV, 20.62 C, TDS=491.41, Ph=4.68
ORP: 780mV, 20.62 C, TDS=504.31, Ph=4.83
ORP: 784mV, 20.69 C, TDS=464.22, Ph=4.39
ORP: 788mV, 20.69 C, TDS=466.27, Ph=4.44
ORP: 783mV, 20.69 C, TDS=466.27, Ph=4.42
ORP: 779mV, 20.69 C, TDS=493.54, Ph=4.73
ORP: 778mV, 20.69 C, TDS=489.28, Ph=4.65
ORP: 783mV, 20.62 C, TDS=499.98, Ph=4.77
ORP: 786mV, 20.69 C, TDS=504.31, Ph=4.86
ORP: 787mV, 20.69 C, TDS=476.64, Ph=4.50
ORP: 783mV, 20.62 C, TDS=456.05, Ph=4.32
ORP: 778mV, 20.69 C, TDS=454.02, Ph=4.28
ORP: 774mV, 20.62 C, TDS=485.04, Ph=4.62
ORP: 773mV, 20.69 C, TDS=497.83, Ph=4.72
ORP: 777mV, 20.62 C, TDS=485.04, Ph=4.61
ORP: 780mV, 20.62 C, TDS=468.33, Ph=4.44
ORP: 780mV, 20.69 C, TDS=460.12, Ph=4.38
ORP: 775mV, 20.69 C, TDS=466.27, Ph=4.42
ORP: 775mV, 20.69 C, TDS=489.28, Ph=4.65
ORP: 775mV, 20.69 C, TDS=491.41, Ph=4.67
ORP: 774mV, 20.69 C, TDS=482.93, Ph=4.57
ORP: 775mV, 20.69 C, TDS=460.12, Ph=4.37
ORP: 774mV, 20.62 C, TDS=449.99, Ph=4.26
ORP: 773mV, 20.69 C, TDS=480.83, Ph=4.61
ORP: 778mV, 20.69 C, TDS=493.54, Ph=4.71
ORP: 779mV, 20.69 C, TDS=508.67, Ph=4.86
ORP: 776mV, 20.69 C, TDS=470.40, Ph=4.46
ORP: 771mV, 20.62 C, TDS=468.33, Ph=4.47
ORP: 767mV, 20.69 C, TDS=485.04, Ph=4.65
ORP: 770mV, 20.69 C, TDS=493.54, Ph=4.70
ORP: 773mV, 20.62 C, TDS=466.27, Ph=4.40
ORP: 774mV, 20.69 C, TDS=454.02, Ph=4.32
ORP: 772mV, 20.69 C, TDS=443.97, Ph=4.20
ORP: 773mV, 20.69 C, TDS=480.83, Ph=4.58
ORP: 772mV, 20.69 C, TDS=495.68, Ph=4.73
ORP: 767mV, 20.62 C, TDS=464.22, Ph=4.41
ORP: 766mV, 20.62 C, TDS=460.12, Ph=4.37
ORP: 765mV, 20.69 C, TDS=482.93, Ph=4.64
ORP: 768mV, 20.62 C, TDS=485.04, Ph=4.61
ORP: 768mV, 20.62 C, TDS=470.40, Ph=4.42
ORP: 765mV, 20.69 C, TDS=454.02, Ph=4.30
ORP: 762mV, 20.69 C, TDS=489.28, Ph=4.69
ORP: 761mV, 20.69 C, TDS=495.68, Ph=4.69
ORP: 765mV, 20.62 C, TDS=485.04, Ph=4.57
ORP: 766mV, 20.69 C, TDS=462.17, Ph=4.40
ORP: 764mV, 20.62 C, TDS=474.55, Ph=4.54
ORP: 764mV, 20.69 C, TDS=491.41, Ph=4.70
ORP: 764mV, 20.69 C, TDS=508.67, Ph=4.90
ORP: 762mV, 20.62 C, TDS=476.64, Ph=4.46
ORP: 759mV, 20.69 C, TDS=456.05, Ph=4.32
ORP: 758mV, 20.69 C, TDS=445.97, Ph=4.18
ORP: 763mV, 20.62 C, TDS=493.54, Ph=4.68
ORP: 765mV, 20.69 C, TDS=482.93, Ph=4.58
ORP: 761mV, 20.69 C, TDS=460.12, Ph=4.37
ORP: 756mV, 20.69 C, TDS=468.33, Ph=4.46
ORP: 755mV, 20.62 C, TDS=489.28, Ph=4.68
ORP: 758mV, 20.62 C, TDS=502.15, Ph=4.83
ORP: 758mV, 20.69 C, TDS=468.33, Ph=4.47
ORP: 755mV, 20.69 C, TDS=447.98, Ph=4.22
ORP: 756mV, 20.69 C, TDS=493.54, Ph=4.68
ORP: 755mV, 20.69 C, TDS=499.98, Ph=4.76
ORP: 755mV, 20.69 C, TDS=468.33, Ph=4.45
ORP: 756mV, 20.62 C, TDS=464.22, Ph=4.43
ORP: 761mV, 20.62 C, TDS=482.93, Ph=4.61
ORP: 760mV, 20.69 C, TDS=487.15, Ph=4.65
ORP: 756mV, 20.69 C, TDS=462.17, Ph=4.41
ORP: 756mV, 20.62 C, TDS=445.97, Ph=4.19
ORP: 761mV, 20.69 C, TDS=482.93, Ph=4.58
ORP: 766mV, 20.69 C, TDS=510.86, Ph=4.89
ORP: 762mV, 20.69 C, TDS=472.47, Ph=4.47
ORP: 758mV, 20.69 C, TDS=482.93, Ph=4.61
ORP: 761mV, 20.69 C, TDS=499.98, Ph=4.76
ORP: 764mV, 20.62 C, TDS=468.33, Ph=4.41
ORP: 760mV, 20.69 C, TDS=456.05, Ph=4.32
ORP: 758mV, 20.69 C, TDS=482.93, Ph=4.63
ORP: 763mV, 20.62 C, TDS=497.83, Ph=4.77
ORP: 769mV, 20.62 C, TDS=464.22, Ph=4.37
ORP: 771mV, 20.69 C, TDS=456.05, Ph=4.32
ORP: 770mV, 20.62 C, TDS=482.93, Ph=4.59
ORP: 772mV, 20.69 C, TDS=502.15, Ph=4.80
ORP: 772mV, 20.69 C, TDS=464.22, Ph=4.41
ORP: 769mV, 20.62 C, TDS=491.41, Ph=4.69
ORP: 770mV, 20.69 C, TDS=489.28, Ph=4.62
ORP: 767mV, 20.69 C, TDS=472.47, Ph=4.43
ORP: 767mV, 20.69 C, TDS=452.00, Ph=4.28
ORP: 773mV, 20.62 C, TDS=485.04, Ph=4.61
ORP: 773mV, 20.62 C, TDS=462.17, Ph=4.33
ORP: 769mV, 20.62 C, TDS=454.02, Ph=4.30
ORP: 770mV, 20.69 C, TDS=482.93, Ph=4.61
ORP: 774mV, 20.69 C, TDS=510.86, Ph=4.89
ORP: 776mV, 20.69 C, TDS=464.22, Ph=4.41
ORP: 770mV, 20.69 C, TDS=487.15, Ph=4.67
ORP: 770mV, 20.62 C, TDS=489.28, Ph=4.65
ORP: 770mV, 20.62 C, TDS=470.40, Ph=4.49
ORP: 770mV, 20.69 C, TDS=468.33, Ph=4.46
ORP: 770mV, 20.69 C, TDS=489.28, Ph=4.68
ORP: 767mV, 20.69 C, TDS=464.22, Ph=4.43
