20.94 C, TDS=439.99, Ph=3.96
ORP: 1049mV, 20.94 C, TDS=424.26, Ph=3.82
ORP: 1045mV, 20.94 C, TDS=460.12, Ph=4.23
ORP: 1047mV, 20.94 C, TDS=452.00, Ph=4.13
ORP: 1051mV, 20.94 C, TDS=445.97, Ph=4.02
ORP: 1047mV, 20.94 C, TDS=428.16, Ph=3.83
ORP: 1043mV, 20.94 C, TDS=426.21, Ph=3.84
ORP: 1045mV, 20.94 C, TDS=460.12, Ph=4.14
ORP: 1049mV, 20.94 C, TDS=418.44, Ph=3.60
ORP: 1047mV, 20.94 C, TDS=418.44, Ph=3.71
ORP: 1043mV, 20.94 C, TDS=416.51, Ph=3.67
ORP: 1048mV, 20.94 C, TDS=443.97, Ph=4.02
ORP: 1052mV, 20.94 C, TDS=443.97, Ph=4.00
ORP: 1052mV, 20.94 C, TDS=424.26, Ph=3.74
ORP: 1054mV, 20.94 C, TDS=418.44, Ph=3.71
ORP: 1054mV, 20.94 C, TDS=447.98, Ph=4.09
ORP: 1053mV, 20.94 C, TDS=445.97, Ph=3.98
ORP: 1053mV, 20.94 C, TDS=422.31, Ph=3.69
ORP: 1054mV, 20.94 C, TDS=414.58, Ph=3.64
ORP: 1054mV, 20.94 C, TDS=432.08, Ph=3.87
ORP: 1052mV, 20.94 C, TDS=447.98, Ph=4.00
ORP: 1052mV, 20.94 C, TDS=449.99, Ph=4.07
ORP: 1053mV, 20.94 C, TDS=418.44, Ph=3.73
ORP: 1052mV, 20.94 C, TDS=418.44, Ph=3.70
ORP: 1049mV, 20.94 C, TDS=443.97, Ph=4.02
ORP: 1049mV, 20.94 C, TDS=449.99, Ph=4.05
ORP: 1054mV, 20.94 C, TDS=426.21, Ph=3.83
ORP: 1052mV, 20.94 C, TDS=420.37, Ph=3.71
ORP: 1049mV, 20.94 C, TDS=452.00, Ph=4.10
ORP: 1051mV, 20.94 C, TDS=454.02, Ph=4.11
ORP: 1055mV, 20.94 C, TDS=449.99, Ph=4.05
ORP: 1056mV, 20.94 C, TDS=424.26, Ph=3.73
ORP: 1053mV, 20.94 C, TDS=418.44, Ph=3.68
ORP: 1050mV, 20.94 C, TDS=454.02, Ph=4.13
ORP: 1055mV, 20.94 C, TDS=454.02, Ph=4.10
ORP: 1054mV, 20.94 C, TDS=454.02, Ph=4.10
ORP: 1054mV, 20.94 C, TDS=422.31, Ph=3.67
ORP: 1053mV, 20.94 C, TDS=420.37, Ph=3.71
ORP: 1052mV, 20.94 C, TDS=456.05, Ph=4.12
ORP: 1055mV, 20.94 C, TDS=466.27, Ph=4.18
ORP: 1054mV, 20.94 C, TDS=452.00, Ph=4.08
ORP: 1057mV, 20.94 C, TDS=424.26, Ph=3.74
ORP: 1058mV, 20.94 C, TDS=418.44, Ph=3.70
ORP: 1052mV, 20.94 C, TDS=460.12, Ph=4.25
ORP: 1054mV, 20.94 C, TDS=445.97, Ph=4.03
ORP: 1059mV, 20.94 C, TDS=454.02, Ph=4.07
ORP: 1062mV, 20.94 C, TDS=434.05, Ph=3.83
ORP: 1058mV, 20.94 C, TDS=422.31, Ph=3.72
ORP: 1055mV, 20.94 C, TDS=458.08, Ph=4.21
ORP: 1053mV, 20.94 C, TDS=456.05, Ph=4.18
ORP: 1057mV, 20.94 C, TDS=452.00, Ph=4.10
ORP: 1055mV, 20.94 C, TDS=436.02, Ph=3.89
ORP: 1050mV, 20.94 C, TDS=418.44, Ph=3.67
ORP: 1046mV, 20.94 C, TDS=410.75, Ph=3.64
ORP: 1045mV, 20.94 C, TDS=445.97, Ph=4.04
ORP: 1048mV, 20.94 C, TDS=454.02, Ph=4.08
ORP: 1048mV, 20.94 C, TDS=414.58, Ph=3.59
ORP: 1047mV, 20.94 C, TDS=424.26, Ph=3.73
ORP: 1045mV, 20.94 C, TDS=416.51, Ph=3.65
ORP: 1045mV, 20.94 C, TDS=432.08, Ph=3.91
ORP: 1045mV, 20.94 C, TDS=445.97, Ph=4.04
ORP: 1046mV, 20.94 C, TDS=447.98, Ph=4.04
ORP: 1047mV, 20.94 C, TDS=434.05, Ph=3.83
ORP: 1050mV, 20.94 C, TDS=420.37, Ph=3.74
ORP: 1050mV, 20.94 C, TDS=416.51, Ph=3.66
ORP: 1046mV, 20.94 C, TDS=441.98, Ph=4.02
ORP: 1047mV, 20.94 C, TDS=441.98, Ph=3.99
ORP: 1050mV, 20.94 C, TDS=449.99, Ph=4.08
ORP: 1054mV, 20.94 C, TDS=418.44, Ph=3.64
ORP: 1049mV, 20.94 C, TDS=416.51, Ph=3.68
ORP: 1045mV, 20.94 C, TDS=434.05, Ph=3.67
ORP: 1041mV, 20.94 C, TDS=439.99, Ph=3.86
ORP: 1040mV, 20.94 C, TDS=445.97, Ph=4.08
ORP: 1043mV, 20.94 C, TDS=454.02, Ph=4.00
ORP: 1043mV, 20.94 C, TDS=428.16, Ph=3.78
ORP: 1042mV, 20.94 C, TDS=428.16, Ph=3.79
ORP: 1036mV, 20.94 C, TDS=416.51, Ph=3.69
ORP: 1036mV, 20.94 C, TDS=418.44, Ph=3.72
ORP: 1036mV, 20.94 C, TDS=447.98, Ph=4.08
ORP: 1033mV, 20.94 C, TDS=447.98, Ph=4.08
